"Skrót", "Nazwa eksperymentu", "Dziedzina","Zrealizowano podczas misji Apollo"
"ASE", "Active Seismic Experiment", "Sejsmika", "14, 16"
"CCIG", "Cold Cathode Ion Gauge", "Magnetometria", "12, 14, 15"
"CPLEE", "Charged Particle Lunar Environmental Experiment", "Elektromagnetyzm", "14"
"CRD", "Cosmic Ray Detector", "Radiometria", "16, 17"
"HFE", "Heat Flow Experiment", "Radiometria", "15, 16 (nieskutecznie), 17"
"LACE", "Lunar Atmospheric Composition Experiment", "Badania atmosferyczne", "17"
"LAD", "Lunar Atmospheric Detector", "Badania atmosferyczne", "11, 12"
"LDD", "Lunar Dust Detector", "Petrofizyka", "11, 12, 14, 15"
"LEAM", "Lunar Ejecta and Meteorite Experiment", "Wulkanizm", "17"
"LID", "Lunar Ionosphere Detector", "Elektromagnetyzm", "12"
"LPM", "Lunar Portable Magnetometer", "Magnetometria", "14, 16"
"LRRR", "Laser Ranging Retro-reflector", "Astrometria", "11, 14, 15"
"LSG", "Lunar Surface Gravimeter Experiment", "Grawimetria", "17"
"LSM", "Lunar Surface Magnetometer", "Magnetometria", "12, 15, 16"
"LSPE", "Lunar Seismic Profiling Experiment", "Sejsmika", "17"
"NPE", "Neutron Probe Experiment", "Radiometria", "17"
"PSE", "Passive Seismic Experiment", "Sejsmika", "12, 14, 15, 16"
"PSEP", "Passive Seismic Experiment Package", "Sejsmika", "11"
"SEP", "Surface Electrical Properties Experiment", "Elektromagnetyzm", "17"
"SIDE", "Suprathermal Ion Detector Experiment", "Elektromagnetyzm", "12, 14, 15"
"SWCE", "Solar Wind Composition Experiment", "Elektromagnetyzm", "11, 12, 14, 15, 16"
"SWS", "Solar Wind Spectrometer", "Elektromagnetyzm", "12, 15"
"TGE", "Traverse Gravimeter Experiment", "Grawimetria", "17"
